Major,Degree Type,Early Career Pay,Mid-Career Pay,
Automotive Technology,Bachelors,48100,79800,
Business Management & Administration,Bachelors,51400,79800,
Agricultural Business,Bachelors,52700,79700,
Technology Management,Bachelors,56400,79700,
Global Studies,Bachelors,51200,79600,
Professional Studies,Bachelors,42800,79600,
Interpersonal Communications,Bachelors,45000,79500,
Forestry,Bachelors,45900,79400,
Homeland Security,Bachelors,49200,79400,
Ancient History,Bachelors,46000,79300,
Botany,Bachelors,42600,79300,
Geography,Bachelors,49700,79300,
Computer Aided Design (CAD),Bachelors,48700,79200,
Nutrition Science,Bachelors,49500,79200,
Acting,Bachelors,44200,79100,
Public Management,Bachelors,50200,79100,
Nuclear Medicine Technology,Bachelors,61700,79000,
Apparel & Textile Manufacture,Bachelors,48300,78900,
English Language & Literature,Bachelors,46400,78900,
Urban Studies,Bachelors,51500,78900,
Mass Communication,Bachelors,44800,78800,
Forestry Management,Bachelors,48600,78700,
Radio/Television & Film Production,Bachelors,45700,78700,
Hospital Management,Bachelors,53200,78600,
Human Resources Management (HRM),Bachelors,47900,78500,
Marine Science,Bachelors,46100,78400,
American Sign Language Interpreting,Bachelors,43100,78300,
English & History,Bachelors,45700,78300,
English Language,Bachelors,44600,78300,
Cytotechnology,Bachelors,61900,78200,
Geosciences,Bachelors,48700,78200,
Hospital Administration,Bachelors,51200,78200,
Film Production,Bachelors,44600,78100,
Marine Biology,Bachelors,43300,78100,
Zoology,Bachelors,42100,77900,
Communication Design,Bachelors,51700,77800,
Leadership,Bachelors,47200,77500,
Music Technology,Bachelors,44800,77500,
Musicology,Bachelors,40000,77500,
Technical Writing,Bachelors,53300,77500,
Agricultural Communication,Bachelors,44600,77400,
Logistics Management,Bachelors,56300,77400,
German Language & Literature,Bachelors,49400,77300,
Administration,Bachelors,44600,77100,
Apparel Merchandising,Bachelors,47600,77100,
Computer Aided Drafting & Design (CADD),Bachelors,49100,77100,
Organizational Leadership & Supervision,Bachelors,49600,77100,
Printing Technology,Bachelors,46200,77100,
Spanish Language,Bachelors,47700,77100,
Multimedia,Bachelors,44700,77000,
Spanish Language Teacher Education,Bachelors,45500,76900,
Public Administration,Bachelors,46700,76900,
Human Nutrition,Bachelors,48600,76900,
Audio Engineering,Bachelors,48300,76800,
Graphics Technology & Management,Bachelors,39500,76800,
Physical Anthropology,Bachelors,52900,76800,
Organizational Leadership,Bachelors,50500,76700,
Environmental Health Science,Bachelors,53800,76600,
Health Sciences,Bachelors,44600,76600,
Journalism & Electronic Media,Bachelors,45200,76500,
Religious Studies,Bachelors,43900,76300,
Art History,Bachelors,46600,76200,
Radiologic Science,Bachelors,57600,76200,
3D Animation,Bachelors,51800,76000,
Culture Studies,Bachelors,48100,75900,
Merchandising,Bachelors,53100,75900,
Administrative Management,Bachelors,52700,75800,
Human Resources (HR),Bachelors,47300,75800,
Liberal Arts,Bachelors,44500,75800,
Adult Education & Training,Bachelors,48700,75600,
Fashion Merchandising,Bachelors,46900,75600,
Health & Fitness,Bachelors,39800,75600,
Natural Resources,Bachelors,47400,75500,
Organizational Management,Bachelors,48800,75500,
Modern Languages,Bachelors,50300,75400,
Natural Resource Management,Bachelors,46500,75400,
Retail Management,Bachelors,50100,75400,
Sociology & Anthropology,Bachelors,44500,75400,
Creative Writing,Bachelors,45300,75200,
Criminal Justice Administration,Bachelors,45700,75100,
Ethnic Studies,Bachelors,47500,74900,
Philosophy & Religious Studies,Bachelors,49300,74900,
Radiology,Bachelors,54800,74900,
Medical Laboratory Technology,Bachelors,56900,74400,
Sports Management,Bachelors,45400,74400,
Anthropology & English,Bachelors,48000,74300,
Broadcast Communication,Bachelors,40000,74300,
Criminology,Bachelors,44700,74300,
Earth Science,Bachelors,50000,74300,
Media & Technology,Bachelors,45200,74300,
Visual Communications,Bachelors,45400,74300,
Advertising & Graphic Design,Bachelors,46800,74200,
Applied Behavior Analysis,Bachelors,38700,74200,
Psychology,Bachelors,44700,74200,
Applied Management,Bachelors,45500,74100,
Hotel & Restaurant Management,Bachelors,47300,74100,
Anthropology,Bachelors,46400,73900,
Arts Management,Bachelors,39400,73800,
Diagnostic Medical Imaging,Bachelors,60600,73800,
Communication Arts,Bachelors,42400,73600,
Middle Eastern Studies,Bachelors,57100,73600,
Radiologic Technology,Bachelors,55200,73600,
Painting & Printmaking,Bachelors,34700,73600,
Cardiopulmonary Science,Bachelors,48900,73400,
Human Relations,Bachelors,45000,73400,
Humanities,Bachelors,48500,73200,
Health Care Administration,Bachelors,45800,73100,
Health Care Management,Bachelors,46700,73000,
Life Sciences,Bachelors,53100,73000,
Ecology,Bachelors,46400,72900,
Media Arts,Bachelors,46500,72900,
Respiratory Care,Bachelors,54800,72800,
Art & Design,Bachelors,45100,72700,
Health Information Management,Bachelors,49000,72700,
Hospitality Management,Bachelors,46400,72700,
Health Teacher Education,Bachelors,37900,72600,
Sports Medicine,Bachelors,50100,72600,
Multimedia & Web Design,Bachelors,50200,72600,
Sociology,Bachelors,46200,72500,
Liberal Studies,Bachelors,44300,72400,
Interior Design,Bachelors,45100,72300,
Medical Laboratory Science,Bachelors,55600,72300,
Secondary Education,Bachelors,44600,72300,
Child Psychology,Bachelors,38900,72200,
Exercise Physiology,Bachelors,44100,72200,
Radiography,Bachelors,55300,72200,
Archaeology,Bachelors,45900,72100,
Art Administration,Bachelors,40200,72100,
Hotel & Restaurant Tourism,Bachelors,44300,72100,
Illustration,Bachelors,45200,72100,
Arts & Science,Bachelors,45700,71900,
Health,Bachelors,44200,71900,
Turfgrass Management,Bachelors,53100,71900,
Animal Science & Management,Bachelors,44200,71800,
